RAW_NAME,CANONICAL_NAME,MANUFACTURER_ID
.,.,734272
0988,0988,266883
1211998,1211998,879937
1360 SOUTH LOOP ROAD,1360 SOUTH LOOP ROAD,96910
22 CHERRY HILL DR,22 CHERRY HILL DR,665663
3B MEDICAL INC.,3B MEDICAL INC.,651736
3D SYSTEMS,3D SYSTEMS,312284
3M,3M,234068
3M COMPANY,3M COMPANY,261991
"3M COMPANY, 3M HEALTH CARE","3M COMPANY, 3M HEALTH CARE",781915
"3M COMPANY, 3M HEALTHCARE","3M COMPANY, 3M HEALTHCARE",357034
3M COMPANY/ 3M HEALTHCARE,3M COMPANY/ 3M HEALTHCARE,899152
3M ESPE DENTAL PRODUCTS,3M ESPE DENTAL PRODUCTS,770218
3M ESPE DENTAL PRODUCTS-IRVINE,3M ESPE DENTAL PRODUCTS-IRVINE,568087
3M HEALTH CARE,3M HEALTH CARE,710514
3M HEALTH CARE LIMITED,3M HEALTH CARE LIMITED,37012
3M PERU S. A./ 3M COMPANY,3M PERU S. A./ 3M COMPANY,256667
3T / LIVANOVA DEUTSCHLAND GMBH,3T / LIVANOVA DEUTSCHLAND GMBH,194560
"4WEB, INC.","4WEB, INC.",807228
700 ORTHOPAEDIC DRIVE,700 ORTHOPAEDIC DRIVE,56564
"7D SURGICAL, INC.","7D SURGICAL, INC.",885924
A  E MEDICAL CORPORATION,A  E MEDICAL CORPORATION,868730
A & E MEDICAL CORPORATION,A & E MEDICAL CORPORATION,107647
A & I,A & I,872043
A PLUS INTERNATIONAL INC,A PLUS INTERNATIONAL INC,682454
A&E MEDICAL CORPORATION,A&E MEDICAL CORPORATION,874023
A&I INDUSTRIES LTD.,A&I INDUSTRIES LTD.,19473
A.I.D.D LONGFORD,A.I.D.D LONGFORD,603733
"AACHEN, GERMANY","AACHEN, GERMANY",310214
AAP IMPLANTATE AG,AAP IMPLANTATE AG,204723
"ABAXIS, INC","ABAXIS, INC",638135
"ABAXIS, INC.","ABAXIS, INC.",115638
ABBOTT,ABBOTT,173968
ABBOTT (CRM-SYLMAR),ABBOTT (CRM-SYLMAR),267428
